Episode title,Streams & downloads,Publish date,Rank,Episode URI
What Would Einstein Do?,0,3/28/2026,258,spotify:episode:0TPwZn8lE8AeMpndzwxILU
One K.I.S.S. Unification?,0,3/28/2026,259,spotify:episode:70o385ViVSDcHuDuMU2tTi
THROWBACK EP: 🤷,0,6/15/2034,260,spotify:episode:6Lb4LiDEGyB9jGCwUZbNiP
Most Extreme Physics Challenge,0,3/20/2026,261,spotify:episode:3ngYD9rw6zQnfkNSLb1UGe
Most Extreme Periodic Table Challenge,0,3/20/2026,262,spotify:episode:2zTcssKGsNQjMVUzXz8B9Y
SAT Predictions March 2026,0,5/8/2026,263,spotify:episode:7MxYWwqlpxr1X1JfICK3EH
Whirligig of Worlds to One Fully Determined Collapse,0,3/15/2026,264,spotify:episode:3l3hs3Z9t3G7j09B751r1n
THROWBACK: Podcast Strategy,0,3/15/2031,265,spotify:episode:7CRR7mXTEEWYvCYd8eYFDM
Is Old Science Right?,0,3/15/2026,266,spotify:episode:10AZG28iNfrJbdsnqlhFWC
Are Galactic Halos Frame Dragging Effects?,0,3/15/2026,267,spotify:episode:5EzODmeONxScezwnKJ7W0h
Do Stars Act Like Atoms?,0,3/14/2026,268,spotify:episode:2Gkb1HTmtdWETpJjHhkGp9
Can Stars Blink Out?,0,3/14/2026,269,spotify:episode:66OwdgF8pVnGwh79fB19e6
Is Reality Real?,0,3/14/2026,270,spotify:episode:2FHw5PPdT1y8nQvGqNul3j
Do we Live in A Classical Universe?,0,3/13/2026,271,spotify:episode:5AaZHdvymtxGAHRT4hMlRQ
Is this How the Paradigm Shifts?,0,3/13/2026,272,spotify:episode:6Ua5zqlnsgW5YWRRvKjo0q
THROWBACK EP: 🤷 Call for Assistance — WRONG EMAIL,0,3/15/2033,273,spotify:episode:6SvkQLkqnwYbURjmv9Gnsj
THROWBACK EP: 🤷,0,1/15/2032,274,spotify:episode:6zHG5pR986SBhGEYlsiIGh
THROWBACK EP: 🤷,0,8/15/2030,275,spotify:episode:1EAPlDSZqA3MaFvqV5botx
THROWBACK EP: 🤷,0,5/15/2032,276,spotify:episode:10tHAZBuCcHe8p0MLL04RC
THROWBACK EP: 🤷,0,8/10/2028,277,spotify:episode:1TR61bmbM2yPk85UVMhVHt
TIME CAPSULE: SAT Feb 2026 Polish,0,3/15/2031,278,spotify:episode:2UBZGR3tqsmdg9D0x1ULq6
THROWBACK EP: 🤷,0,3/15/2032,279,spotify:episode:5vUPzLQWDj5gt9fQl7JUiZ
THROWBACK EP: 🤷,0,3/14/2030,280,spotify:episode:4lCXdUEnyVTEe199N9srGC
THROWBACK EP: 🤷,0,3/14/2029,281,spotify:episode:62BJo3bOEAiMvKXt4ESlbM
THROWBACK EP: 🤷,0,4/14/2028,282,spotify:episode:7icNRT53v1qXyU8lenqzTM
THROWBACK EP: 🤷,0,3/14/2028,283,spotify:episode:3m5Kb01TsBSSQcD36jah6q
THROWBACK EP: Equivalence and its Limits Sense & Pattern,0,9/12/2034,284,spotify:episode:2LU7tTawl6GP5q79WDk9cm
THROWBACK EP: Equivalence and its Limits Modular Minds,0,1/1/2033,285,spotify:episode:2CEHz9Ek3VGXrLYamqP3PF
THROWBACK [Premature]: Ep 100! Making an Assumption of U & Me,0,3/28/2030,286,spotify:episode:0EndROQMjXJrGTrLYosMoN
THROWBACK EP: Equivalence and its Limits RMS & Science,0,5/11/2026,287,spotify:episode:0nVquUEbjtj7PgYhKK45Qw
THROWBACK EP: 🤷,0,1/1/2030,288,spotify:episode:7JB98428YJtn0154u5NMHe
THROWBACK EP: Equivalence and its Limits,0,3/18/2026,289,spotify:episode:6zxzNEvS3xzvjcITf00sQF
THROWBACK EP: The Wild Ideas of Nathan McKnight,0,3/18/2029,290,spotify:episode:668Mjpr8tP3Mhkdpo8nRKz
